petition_id,abstract,label,numberOfSignatures
1128,47,11,41
1129,30,13,49
1130,52,15,15
1131,49,4,21
1132,55,16,234
1133,29,11,42
1134,27,11,96
1135,52,16,81
1136,6,12,20
1137,31,10,1139
1138,36,8,19
1139,40,7,51
1140,51,10,9
1141,45,9,62
1142,44,12,10
1143,47,10,2255
1144,47,12,4334
1145,43,10,9
1146,54,9,55
1147,57,13,31
1148,41,3,59
1149,39,12,32
1150,15,14,20768
1151,48,11,15
1152,48,12,360
1153,50,5,17
1154,52,13,46
1155,51,13,51
1156,41,6,199391
1157,43,10,55
1158,22,5,21
1159,36,15,6
1160,45,13,39
1161,49,13,27
1162,53,9,32
1163,18,15,237
1164,49,9,74
1165,26,11,213624
1166,25,11,17
1167,23,13,123
1168,42,13,59
1169,41,6,8
1170,44,6,34
1171,50,11,1723
1172,47,11,9
1173,56,11,23
1174,54,8,164
1175,8,13,30
1176,47,11,271
1177,40,6,8
1178,50,14,432
1179,45,14,154
1180,45,11,50
1181,39,14,15
1182,37,12,10
1183,26,9,33
1184,42,11,82
1185,22,11,11
1186,50,13,26
1187,39,10,13
1188,49,17,206
1189,16,10,35492
1190,49,13,180
1191,42,12,68
1192,55,13,573
1193,59,15,1135
1194,51,8,15
1195,50,9,1616
1196,43,13,24540
1197,31,12,20
1198,47,6,169
1199,48,9,2632
1200,57,11,53
1201,47,11,1009
1202,53,12,12
1203,52,13,16
1204,44,11,33
1205,26,8,14
1206,54,13,85
1207,58,7,1872
1208,49,12,9
1209,53,18,14
1210,47,11,18
1211,46,13,98
1212,44,10,69
1213,47,12,68
1214,47,10,9
1215,34,10,17
1216,43,14,9
1217,30,15,20
1218,60,15,58
1219,41,14,68
1220,49,11,27
1221,54,18,12
1222,34,7,104
1223,53,13,50
1224,53,11,13
1225,50,16,80
1226,49,14,11
1227,37,11,21
1228,48,11,232
1229,48,10,110
1230,48,12,33
1231,49,10,319
1232,53,9,30
1233,54,14,708
1234,49,11,263
1235,48,9,16
1236,43,9,74
1237,43,12,53
1238,47,12,487
1239,50,12,15
1240,47,10,13
1241,48,13,2878
1242,49,11,7
1243,54,13,94
1244,50,13,152
1245,27,7,12
1246,55,14,28
1247,50,14,1561
1248,57,13,146
1249,54,16,962
1250,22,11,7
1251,51,14,10
1252,44,11,15
1253,53,13,30
1254,48,13,339
1255,54,8,31
1256,51,10,22
1257,43,9,26
1258,52,10,15
1259,50,13,30
1260,49,9,18
1261,59,13,182
1262,24,12,88
1263,45,13,155
1264,45,12,26
1265,55,13,6
1266,43,10,17
1267,51,11,1462
1268,41,14,26
1269,50,12,17
1270,34,11,206
1271,44,10,1444
1272,35,6,26
1273,49,8,1855
1274,42,12,8292
1275,55,6,671
1276,53,6,62
1277,36,12,13
1278,49,14,101
1279,46,5,15
1280,46,11,11
1281,53,14,1196
1282,54,10,49
1283,51,9,19
1284,51,14,12
1285,45,12,280
1286,48,10,113
1287,52,10,417
1288,43,6,237
1289,54,12,17
1290,43,15,587
1291,49,12,63
1292,35,7,20580
1293,47,12,28
1294,33,13,26951
1295,48,16,210
1296,33,15,7
1297,48,7,1053
1298,30,11,55
1299,53,10,757
1300,39,12,10
1301,42,3,290
1302,52,8,55152
1303,53,11,43
1304,49,12,18
1305,56,16,10
1306,34,11,69
1307,51,6,27
1308,54,7,531
1309,47,7,12887
1310,47,10,11
1311,47,12,161
1312,61,5,11
1313,51,13,2945
1314,44,8,68
1315,45,11,11
1316,51,13,22
1317,49,11,19
1318,48,9,67
1319,42,13,78468
1320,46,9,30
1321,47,10,9
1322,46,7,126
1323,40,11,229
1324,47,11,12
1325,23,10,1975
1326,35,11,56
1327,49,14,2652
1328,28,14,2076
1329,14,7,238
1330,53,5,141
1331,18,9,47
1332,51,10,546
1333,44,11,50
1334,41,13,16
1335,46,7,101941
1336,51,15,16
1337,37,11,382
1338,40,5,3320
1339,48,8,45
1340,42,11,36
1341,54,6,51
1342,48,15,311
1343,52,14,110
1344,53,8,10
1345,53,8,13
1346,56,11,402
1347,51,7,14
1348,23,13,69
1349,46,7,16
1350,49,13,21
1351,47,12,27
1352,48,14,63
1353,48,10,21
1354,51,11,169
1355,51,12,884
1356,43,7,55
1357,38,11,12
1358,56,4,9663
1359,29,11,51
1360,46,15,993
1361,27,14,9
1362,50,8,767
1363,52,9,32
1364,43,6,9
1365,46,10,29
1366,50,11,35
1367,52,5,9436
1368,26,13,33
1369,49,8,15346
1370,36,10,1488
1371,46,12,827
1372,48,13,11
1373,43,8,23
1374,11,8,20
1375,48,15,7
1376,51,11,484
1377,43,11,101
1378,50,11,9
1379,48,13,13256
1380,35,8,3315
1381,32,12,342
1382,37,10,54
1383,50,16,55
1384,43,14,438
1385,27,11,12
1386,48,15,6
1387,45,5,884
1388,27,6,15
1389,42,13,971
1390,54,9,28
1391,45,11,9
1392,43,12,187
1393,34,11,49
1394,48,10,86
1395,48,12,13
1396,64,12,34
1397,46,9,108
1398,34,9,33
1399,44,8,407
1400,42,16,860
1401,47,14,187
1402,49,14,1638
1403,56,11,564
1404,47,10,11
1405,59,15,92
1406,46,11,15
1407,46,12,54
1408,9,6,60
1409,52,12,153
1410,43,10,8
1411,43,10,29
1412,52,13,324
1413,51,13,73
1414,53,11,10040
1415,59,12,471
1416,15,4,1398
1417,46,9,114
1418,51,15,166
1419,22,5,18145
1420,55,13,77
1421,53,9,380
1422,48,12,324
1423,47,10,168
1424,53,15,9795
1425,56,11,11
1426,56,12,13
1427,50,11,52
1428,50,12,8
1429,54,4,35
1430,42,9,111
1431,38,10,52
1432,55,8,812
1433,45,13,892
1434,41,14,11782
1435,52,6,3095
1436,51,8,38
1437,52,10,20
1438,51,9,91
1439,51,10,107
1440,23,12,407
1441,48,13,211
1442,50,10,2958
1443,44,13,119
1444,46,10,12
1445,35,9,3577
1446,43,11,26
1447,55,6,15
1448,51,12,89
1449,47,11,11
1450,46,12,14
1451,21,12,12
1452,40,9,7
1453,43,11,16
1454,48,4,494
1455,43,13,177
1456,49,10,9
1457,45,13,1759
1458,58,11,81
1459,55,4,328
1460,38,10,102
1461,24,13,896
1462,44,13,29
1463,55,9,85
1464,40,6,13
1465,35,8,2076
1466,38,11,53
1467,30,11,508
1468,55,13,31
1469,55,7,10
1470,15,12,8
1471,42,12,80
1472,48,13,1680
1473,21,10,18
1474,42,9,316
1475,49,13,32
1476,49,9,62
1477,34,12,2005
1478,45,10,45
1479,62,8,1755
1480,49,10,754
1481,45,9,301
1482,50,17,17
1483,55,14,32
1484,41,11,90
1485,42,10,1124
1486,33,7,9
1487,25,8,39
1488,45,10,4286
1489,41,14,27
1490,45,13,114
1491,53,12,89
1492,42,9,1156
1493,48,17,27
1494,19,12,5850
1495,46,6,10
1496,52,12,2924
1497,48,9,90
1498,24,13,10267
1499,46,10,1475
1500,49,11,12
1501,54,15,13
1502,52,10,89
1503,50,12,568
1504,40,13,38
1505,46,11,2532
1506,54,18,10
1507,40,11,12
1508,34,7,21
1509,32,13,31
1510,50,11,7984
1511,39,9,7
1512,60,13,23
1513,49,13,43
1514,50,11,1466
1515,44,6,12
1516,53,12,13250
1517,41,5,15
1518,45,4,2452
1519,54,13,405
1520,52,14,103
1521,50,10,129
1522,48,9,23
1523,52,12,277
1524,37,11,31
1525,23,14,27
1526,54,11,102
1527,49,15,227745
1528,45,11,256
1529,55,6,28
1530,32,14,20
1531,29,11,13
1532,47,10,13
1533,54,15,19765
1534,52,14,394
1535,47,13,281
1536,47,7,52
1537,47,12,2923
1538,47,7,1298
1539,57,11,3135
1540,51,11,32
1541,35,7,481
1542,33,6,413
1543,48,10,38
1544,47,8,52
1545,47,10,1440
1546,24,7,153
1547,48,11,1402
1548,47,13,6
1549,48,10,8
1550,27,13,13
1551,43,6,15
1552,59,16,53
1553,39,13,42
1554,59,11,25
1555,50,12,13
1556,46,14,17
1557,49,13,86
1558,42,16,1320
1559,46,5,29
1560,42,13,20
1561,46,9,198
1562,39,7,399
1563,56,9,47
1564,32,5,58
1565,57,12,127
1566,23,10,60
1567,55,14,3877
1568,43,10,46
1569,41,3,13
1570,54,11,37
1571,51,15,12
1572,55,11,35
1573,43,14,2636
1574,27,13,26
1575,34,8,14
1576,56,10,3751
1577,46,11,792
1578,50,13,30
1579,54,14,20
1580,50,11,19
1581,50,11,8
1582,46,10,19
1583,48,8,35352
1584,58,15,41
1585,20,5,17
1586,43,11,201
1587,59,9,121
1588,5,7,30
1589,43,6,432
1590,51,7,315
1591,56,15,165
1592,53,14,166
1593,48,9,554
1594,47,13,11849
1595,42,10,11
1596,49,14,26
1597,42,6,29
1598,30,11,11
1599,33,13,42
